LEI,Date,Total_Capital,CET1_Capital,Tier1_Capital,RWA_Total,Net_Income,Leverage_Exposure,Total_Assets,Loans_Gross,Provisions_Stock,NPL_Amount,NPL_Ratio,RWA_Final,CVA_Charge,RWA_CVA_Addon,AT1_Capital,Tier2_Capital,CET1_Ratio_Pct,Tier1_Ratio_Pct,TCR_Pct,CAR_Pct,Leverage_Ratio_Pct,P2R_Pct,P2G_Pct,CBR_Pct,SREP_Requirement_Pct,Capital_Buffer_Pct,LTD_Ratio_Pct,LCR_Ratio_Pct,NSFR_Ratio_Pct,Texas_Ratio_Pct,NPL_Ratio_Pct,Risk_Exposure_Amount,MREL_Ratio_Pct,TLAC_Ratio_Pct,ROA_Pct,ROE_Pct
529900HNOAA1KXQJUQ27,202506,34531.54946464,27089.12483895,30382.12483895,151528.91162481,1453.46813437,448452.6884652,550605.05095128,750228.45013985,5639.34495798,0.0,0.0,151832.67947364668,24.30142790693657,303.7678488367071,3293.0,4149.424625689997,17.841432379945456,20.01026718640197,22.74316015784571,22.74316015784571,6.7748785145944455,2.0,1.0,2.5,12.5,10.243160157845711,227.09213220489013,250.0,36.34824463616549,0.0,0.0,151832.67947364668,77.13906354900408,77.13906354900408,0.2639765348790106,4.78395814010562
529900JG015JC10LED24,202506,803.56155603,643.1524727,713.38261581,3489.889271948,59.92535439,9606.72550842741,9373.97036497,10679.87318516,67.31661288000001,0.0,0.0,3496.3965678503773,0.5205836721901904,6.50729590237738,70.23014310999997,90.17894022000007,18.394723259193025,20.403366779661248,22.98256334589753,22.98256334589753,7.4258665471829275,2.0,1.0,2.5,12.5,10.482563345897528,189.88526684968136,250.0,42.61211623599337,0.0,0.0,3496.3965678503773,63.19812606766232,63.19812606766232,0.6392739901753656,8.40017026795062
529900JZTYE3W7WQH904,202506,5491.77114475999,5131.74381151,5131.74381151,28504.26055868,71.45402447,56583.19512762,57845.20317157,78140.25476873,595.90855556,0.0,0.0,28542.58824832559,3.0662151716472232,38.32768964559029,0.0,360.0273332499901,17.97925180037254,17.97925180037254,19.240620706785965,19.240620706785965,9.06937793091334,2.0,1.0,2.5,12.5,6.740620706785965,225.14184548994925,249.99999999999994,38.52263526565243,0.0,0.0,28542.58824832559,49.64003788733724,49.64003788733724,0.12352627452628347,1.3923926660121964
529900ODI3047E2LIV03,202506,30957.8429667696,23964.9448320754,26933.6879645359,158575.524065794,2459.13165046,561391.946533478,546907.59171511,709558.4381716,2801.51435885,0.0,0.0,158955.79344167034,30.421550070106832,380.2693758763354,2968.7431324604986,4024.1550022336996,15.076484042004711,16.944137348739893,19.475756307133114,19.475756307133114,4.797661977669597,2.0,1.0,2.5,12.5,6.975756307133114,216.23349444538235,249.99999999999994,37.22290180415305,0.0,0.0,158955.79344167034,71.08516102340103,71.08516102340103,0.4496429904635495,9.130319077350215
529900OE1FOAM50XLP72,202506,1982.4649677367,1982.4649677367,1982.4649677367,10757.1126123523,97.4099092008131,30877.9378747754,30112.6059669947,38959.33797288965,113.63488917299654,0.0,0.0,10778.02836334676,1.6732600795567536,20.91575099445942,0.0,0.0,18.393577200803644,18.393577200803644,18.393577200803644,18.393577200803644,6.420328247878891,2.0,1.0,2.5,12.5,5.8935772008036444,215.63138715389115,250.0,37.871316442537996,0.0,0.0,10778.02836334676,60.30189978798446,60.30189978798446,0.3234854841443496,4.913575310842544
529900RWC8ZYB066JF16,202506,1691.00910101,1275.21680982,1275.21680982,5740.29320813,89.481,16412.75497188,15910.939,15893.68738065,159.88504126,0.0,0.0,5751.41069588184,0.8893990201472672,11.11748775184084,0.0,415.79229119,22.17224394587381,22.17224394587381,29.401640578733257,29.401640578733257,7.769669455279331,2.0,1.0,2.5,12.5,16.901640578733257,166.48595640866958,249.99999999999994,47.90527112978483,0.0,0.0,5751.41069588184,70.89825725590599,70.89825725590599,0.5623866699507803,7.016924440686322
529900S1KHKOEQL5CK20,202506,1295.7791128,1239.18824869,1239.18824869,7511.97081085,,33415.5524452,,,,,0.0,7534.605462720877,1.8107721496701448,22.63465187087681,0.0,56.590864109999984,16.446624243580597,16.446624243580597,17.197703572020497,17.197703572020497,3.7084176618723057,2.0,1.0,2.5,12.5,4.697703572020497,,,,0.0,,7534.605462720877,,,,
529900S9YO2JHTIIDG38,202506,4450.15739866,2949.5639291,3574.80283695,23505.4420687,408.45709088,74738.26844897,72765.13813337,103181.02874849,768.02504614,0.0,0.0,23556.067438145823,4.0500295556659545,50.62536944582443,625.2389078499996,875.3545617099999,12.521461559086836,15.175719997987,18.891767101386282,18.891767101386282,4.783095609702028,2.0,1.0,2.5,12.5,6.391767101386282,236.333477347745,250.0,35.25230537343666,0.0,0.0,23556.067438145823,65.22705098807836,65.22705098807836,0.5613362406202622,11.426003321304655
529900SSGT49ZZSWYE62,202506,33172.49212391,30425.64011003,30425.64011003,181918.22563892,1088.74033307,212136.15774856,203659.32221377,330824.55008872,6324.5119727,0.0,0.0,182061.92004851383,11.495552767504925,143.69440959381157,0.0,2746.8520138800013,16.711699020818035,16.711699020818035,18.220445063454545,18.220445063454545,14.342505508227783,2.0,1.0,2.5,12.5,5.7204450634545445,270.73361737358596,250.0,37.37261534003722,0.0,0.0,182061.92004851383,34.99984534876691,34.99984534876691,0.5345889995289334,3.578364593588583
529900SXEWPJ1MRRX537,202506,4120.72201312,3776.37100714,3871.37100714,16047.77029423,5.59822156,31503.11262273,35247.13769061,38831.9771607,536.9794041299999,0.0,0.0,16069.109519078487,1.7071379878789263,21.33922484848658,95.0,249.35100598000008,23.50081068684236,24.09200710558111,25.643748387099862,25.643748387099862,12.288852385801217,2.0,1.0,2.5,12.5,13.143748387099862,183.6176386933731,250.0,45.73145099736776,0.0,0.0,16069.109519078487,58.54582455575302,58.54582455575302,0.01588276928793396,0.14460565907207437
529900V3O1M5IHMOSF46,202506,5184.40349947,5184.40349947,5184.40349947,12754.82869809,148.38109891,58950.78890852,55400.52916777,31565.19374233,28.46730116,0.0,0.0,12794.760121837853,3.1945138998282623,39.93142374785328,0.0,0.0,40.51973972236774,40.51973972236774,40.51973972236774,40.51973972236774,8.794459913870147,2.0,1.0,2.5,12.5,28.01973972236774,94.96056631138184,249.99999999999994,64.36869982780762,0.0,0.0,12794.760121837853,105.46882275349088,105.46882275349088,0.26783336032884447,2.8620669460849055
529900W3MOO00A18X956,202506,13498.7197720485,12276.1131386043,12276.1131386043,68282.8893498774,1331.60859791395,118910.160754369,111302.008938691,148682.47532063272,4663.92514051274,0.0,0.0,68363.43537996321,6.443682406865037,80.54603008581296,0.0,1222.6066334442003,17.957133181464332,17.957133181464332,19.745525801947732,19.745525801947732,10.323855472673095,2.0,1.0,2.5,12.5,7.245525801947732,222.641197492569,250.0,40.4336408258611,0.0,0.0,68363.43537996321,44.16691604954332,44.16691604954332,1.1963922400065987,10.847151560753241
529900XSTAE561178282,202506,6148.31127344,5617.53944887,5617.53944887,30357.24635159,234.43537094,43375.15007288,48461.1409869899,64030.74793926,1144.21316007,1097.96091266,0.0171474010221079,30386.62732391888,2.3504777863104382,29.38097232888048,0.0,530.7718245699998,18.48688039310024,18.48688039310024,20.23360871181761,20.23360871181761,12.9510547846665,2.0,1.0,2.5,12.5,7.73360871181761,220.21337314519687,249.99999999999994,41.086550594986996,16.23781549192349,1.7147401022107898,30386.62732391888,44.155879092665515,44.155879092665515,0.4837594950621109,4.1732750267941245
5493000LKS7B3UTF7H35,202506,6913.57561888598,6290.0908087594,6290.0908087594,38962.1389069608,775.312595526012,87472.9981811753,80080.3479287179,97415.43710581512,2695.435410272728,390.820014378992,0.004011889963132572,39021.39038470248,4.740118219334482,59.25147774168102,0.0,623.4848101265798,16.119596833293002,16.119596833293002,17.717399484556303,17.717399484556303,7.190894264000504,2.0,1.0,2.5,12.5,5.217399484556303,202.74520034246882,250.0,40.830037402112204,4.349439363397562,0.4011889963132572,39021.39038470248,48.50064957094164,48.50064957094164,0.9681683653724167,12.325936446677908
5493001BABFV7P27OW30,202506,3415.245,2802.766,2887.038,18608.244,282.167,31052.333,29570.817,38679.644,638.283,0.0,0.0,18629.277880807032,1.6827104645627422,21.033880807034276,84.27199999999993,528.2069999999999,15.044952455658912,15.497315668764566,18.332675167825933,18.332675167825933,9.297330413144804,2.0,1.0,2.5,12.5,5.832675167825933,218.00572278179985,249.99999999999994,40.667694255317095,0.0,0.0,18629.277880807032,42.14262946868392,42.14262946868392,0.9542076568259849,9.773581088991554
54930056IRBXK0Q1FP96,202506,6794.091836,5110.141633,5736.482106,38640.253231,453.509,83835.774103,81974.001,118951.445,1770.17707,0.0,0.0,38697.04096671854,4.543018857482825,56.787735718535316,626.3404730000002,1057.6097299999992,13.205510047641594,14.824084639788538,17.557135290637007,17.557135290637007,6.842522977067286,2.0,1.0,2.5,12.5,5.057135290637007,241.84791020915685,249.99999999999994,35.93355889383128,0.0,0.0,38697.04096671854,49.332433460270394,49.332433460270394,0.5532351653788377,7.905698852013468
5493006QMFDDMYWIAM13,202506,107735.452258,81252.906825,90830.487726,625750.26763223,6737.048,1850859.40061,1797909.92,2295744.599,38914.619,0.0,0.0,627003.9819996178,100.29714939102229,1253.7143673877786,9577.580901000008,16904.964531999998,12.95891400336426,14.48642916689728,17.18257863601027,17.18257863601027,4.907476369953569,2.0,1.0,2.5,12.5,4.68257863601027,212.81605689863116,250.0,37.84136683345724,0.0,0.0,627003.9819996178,60.19450451563958,60.19450451563958,0.37471554748415875,7.417165941377562
5493007SJLLCTM6J6M37,202506,5743.01215039999,4591.1808587,5138.5408587,28736.652,337.848,93864.116,95150.416,108917.869,1484.918,0.0,0.0,28800.23262139813,5.086449711850349,63.58062139812937,547.3600000000006,604.4712916999897,15.941471442452249,17.842011647093933,19.940853346208808,19.940853346208808,5.474446548561753,2.0,1.0,2.5,12.5,7.440853346208808,190.78191068199502,250.0,40.75778611154891,0.0,0.0,28800.23262139813,69.49796140024482,69.49796140024482,0.35506728630592643,6.574784735398061
5493008QOCP58OLEN998,202506,3078.53836698484,3078.53836698484,3078.53836698484,10489.954966485,66.6756973099999,61981.5980356388,59468.99203409,93596.30810683,83.58369374,0.0,0.0,10531.939365702641,3.358751937411302,41.984399217641275,0.0,0.0,29.230498392443554,29.230498392443554,29.230498392443554,29.230498392443554,4.966858655716995,2.0,1.0,2.5,12.5,16.730498392443554,262.311233987781,250.0,32.19997878978277,0.0,0.0,10531.939365702641,113.92856296887568,113.92856296887568,0.11211842513116539,2.165823171965303
5493009EIBTCB1X12G89,202506,5192.59668524801,5192.59668524801,5192.59668524801,28075.0988799355,257.37735402299,65645.2229958606,61966.3609230137,76613.12161954062,54.63410014126536,0.0,0.0,28119.564904309453,3.557281949916272,44.4660243739534,0.0,0.0,18.46613453272963,18.46613453272963,18.46613453272963,18.46613453272963,7.910090709228666,2.0,1.0,2.5,12.5,5.96613453272963,206.06105333699762,250.0,40.2213199342156,0.0,0.0,28119.564904309453,51.5212481878757,51.5212481878757,0.41535011930546106,4.956621313459416
549300C6TUMDXNOVXS82,202506,2386.52433482528,1880.54263653433,2109.31399974252,12516.3478392652,81.8164485255461,47707.7579481963,46579.8992508859,78764.56456871124,88.22913088323673,0.0,0.0,12548.66358488899,2.585259649903157,32.31574562378946,228.77136320819,277.21033508276014,14.985999296362252,16.80907281857919,19.018155349220738,19.018155349220738,4.421322842362303,2.0,1.0,2.5,12.5,6.518155349220738,281.826015926148,250.0,30.51830891103751,0.0,0.0,12548.66358488899,74.69727082129828,74.69727082129828,0.1756475429130303,3.878817878017842
549300C9KPZR0VZ16R05,202506,8297.463636,6290.777414,7290.777414,34950.14768,195.800108290003,105258.278640169,110484.43948599,88212.5497273198,5.74372248,0.0,0.0,35021.44635140324,5.703893712259021,71.29867140323776,1000.0,1006.6862220000003,17.962643092688662,20.818036299371382,23.69252129893127,23.69252129893127,6.926559609552337,2.0,1.0,2.5,12.5,11.192521298931268,133.06934161605867,250.0,52.18672578851742,0.0,0.0,35021.44635140324,71.01399899179779,71.01399899179779,0.17721962404925942,2.6855861476997083
549300DYPOFMXOR7XM56,202506,3278.7525571867,2528.6219895757,2773.3466835457,11337.6595123883,83.2442023,57933.06982044,56670.90680447,107199.69110825,371.5639422,0.0,0.0,11376.901565002792,3.139364209159369,39.24205261449211,244.72469397000032,505.40587364099974,22.22592834374303,24.376994629864495,28.819380553249037,28.819380553249037,4.787156441289091,2.0,1.0,2.5,12.5,16.319380553249037,315.26961878963755,250.0,28.362971916202902,0.0,0.0,11376.901565002792,103.53775595714498,103.53775595714498,0.1468905422445684,3.0015793839943945
549300FH0WJAPEHTIQ77,202506,10524.9632281899,9184.84491234648,9184.84491234648,43401.606069063,,124724.660782371,,,,,0.0,43486.09065991786,6.758767268389589,84.48459085486986,0.0,1340.1183158434196,21.12133965818262,21.12133965818262,24.203056813039765,24.203056813039765,7.364096927369393,2.0,1.0,2.5,12.5,11.703056813039765,,,,0.0,,43486.09065991786,,,,
549300GKFG0RYRRQ1414,202506,21703.7599437238,17494.759962905,19202.9869199374,95442.7715351726,1755.01557809793,309177.707547847,292627.763023786,427872.0914684182,1171.1617911191834,0.0,0.0,95652.19886060909,16.754186034919865,209.4273254364983,1708.2269570324024,2500.773023786398,18.289971554547908,20.075844725662087,22.690288568642313,22.690288568642313,6.210986902076577,2.0,1.0,2.5,12.5,10.190288568642313,243.69531621967062,250.0,35.23939880085189,0.0,0.0,95652.19886060909,68.5796303469045,68.5796303469045,0.5997433599474548,9.139284348914462
549300HFEHJOXGE4ZE63,202506,1457.43810437,1457.43810437,1457.43810437,3348.59355033,43.0117182,15399.2205804,73305.8049713,119073.47587946,70.4348471,0.0,0.0,3359.0245015312953,0.8344760961036012,10.430951201295015,0.0,0.0,43.38873097548382,43.38873097548382,43.38873097548382,43.38873097548382,9.464362801744752,2.0,1.0,2.5,12.5,30.888730975483817,270.7231619789605,249.99999999999994,29.770040630204182,0.0,0.0,3359.0245015312953,370.7418283012775,370.7418283012775,0.05867436858082323,2.9511866110151193
549300L7YCATGO57ZE10,202506,1862.02518,1362.02518,1862.02518,5805.480683,317.836001,35812.643816,35359.175576,12763.270564,60.600643,0.0,0.0,5829.739049719516,1.9406693375612512,24.25836671951564,500.0,0.0,23.36339874536118,31.940111969327116,31.940111969327116,31.940111969327116,5.199351350787746,2.0,1.0,2.5,12.5,19.440111969327116,60.160106281168765,250.0,73.45663853572046,0.0,0.0,5829.739049719516,122.91976459469092,122.91976459469092,0.8988784263842701,17.06937180086899
549300NYKK9MWM7GGW15,202506,61226.33721098,44534.03239615,50764.52822155,335803.77875556,3256.378,1186760.54517077,1086759.756,1744280.94,11156.364,0.0,0.0,336607.65329386323,64.30996306425799,803.8745383032248,6230.495825399994,10461.80898943,13.230249508697641,15.08121628394226,18.18922909561077,18.18922909561077,4.277571278226577,2.0,1.0,2.5,12.5,5.68922909561077,267.50483572378437,250.0,31.987691565144445,0.0,0.0,336607.65329386323,66.61770711886193,66.61770711886193,0.2996410183595352,6.414672043810383
549300OLBL49CW8CT155,202506,3501.206,2644.373,3000.25199999999,18547.292,180.602,46891.488,46893.066,64788.044,730.637,0.0,0.0,18579.05482984781,2.541026387824652,31.76282984780815,355.8789999999899,500.9540000000102,14.233086797029824,16.14857175177714,18.844909130550644,18.844909130550644,6.398287040923057,2.0,1.0,2.5,12.5,6.3449091305506435,230.2687423623214,250.0,36.71012999347713,0.0,0.0,18579.05482984781,56.704530970407276,56.704530970407276,0.3851358322358363,6.019561023540709
549300Q3OIWRHQUQM052,202506,4218.02069533989,3348.1863142507,3714.6374354641,17972.5346241074,287.103852380751,50676.1376087709,47974.9537778528,80109.23683003076,238.5098392834509,0.0,0.0,18006.861057429618,2.746114665777297,34.32643332221621,366.4511212133998,503.3832598757904,18.59394762680884,20.62901148410563,23.424519586657986,23.424519586657986,7.330151054805683,2.0,1.0,2.5,12.5,10.924519586657986,278.302289429936,249.99999999999994,32.71545217754261,0.0,0.0,18006.861057429618,63.38841470267409,63.38841470267409,0.5984452923293693,7.7289872125805665
